name, num. of atoms, atomic types, rmsd, max. deviation, av. deviation, pearson**2
NSC_109469,20,"Br, C, H, N",0.0255,0.0413,0.0217,0.9897
NSC_9366,5,"C, H, I",0.0267,0.0345,0.0261,0.997
NSC_3883,20,"C, H, I, N",0.028,0.0466,0.024,0.9872
NSC_100036,15,"C, H, O",0.0287,0.0707,0.0194,0.991
NSC_100152,19,"C, H, N",0.0297,0.0558,0.026,0.9931
NSC_101355,22,"C, H, O, S",0.0303,0.102,0.0216,0.9977
NSC_97133,24,"C, H, I",0.0303,0.082,0.0202,0.9899
NSC_12360,24,"C, H, S",0.0308,0.0562,0.0273,0.9852
NSC_11199,60,"C, H, N",0.0311,0.0946,0.0228,0.9895
NSC_148323,19,"C, H, S",0.0316,0.0778,0.0257,0.9838
NSC_448,13,"C, Cl, H, N, O",0.0327,0.0952,0.0226,0.9882
NSC_147588,64,"C, H, I, O",0.0332,0.136,0.0238,0.9869
NSC_144164,22,"C, H, I, N",0.0336,0.0938,0.0264,0.9874
NSC_106256,19,"Br, C, H",0.0336,0.0551,0.0312,0.9871
NSC_360510,40,"C, H, N, S",0.0337,0.1048,0.0246,0.9874
NSC_11146,42,"C, H, N",0.0341,0.0906,0.0244,0.9875
NSC_344490,17,"C, Cl, H, N",0.0343,0.0614,0.0304,0.9836
NSC_11239,59,"C, H, N",0.0343,0.0929,0.0285,0.9825
NSC_161124,32,"C, H, S",0.0343,0.0623,0.0295,0.9916
NSC_103136,23,"C, H, N",0.0347,0.0772,0.0277,0.9801
NSC_179689,64,"C, H, N, O, S",0.0349,0.1593,0.0231,0.99
NSC_11368,26,"C, H, N, O, S",0.0352,0.0748,0.0301,0.9971
NSC_114667,30,"C, H, S",0.0352,0.1042,0.0279,0.9764
NSC_7901,17,"C, H, I",0.0352,0.069,0.0304,0.9901
NSC_1338,39,"C, H, I, N, O",0.0353,0.1004,0.0247,0.9904
NSC_101887,10,"C, Cl, H, S",0.0356,0.085,0.0264,0.989
NSC_6293,13,"C, Cl, H, N, O",0.0357,0.0936,0.0294,0.98
NSC_175810,36,"C, H, S",0.0359,0.088,0.026,0.9821
NSC_2616,19,"C, H, S",0.0361,0.0805,0.0299,0.9841
NSC_102541,18,"C, H, N, S",0.0361,0.096,0.0284,0.9845
NSC_115877,52,"C, H, N, O",0.0362,0.1168,0.0292,0.9805
NSC_103374,50,"C, H, N",0.0363,0.1212,0.0266,0.9844
NSC_169963,26,"C, H, S",0.0364,0.0756,0.0268,0.9811
NSC_11124,33,"C, H, N",0.0364,0.0873,0.0264,0.9864
NSC_106377,36,"C, H, N",0.0364,0.0923,0.0293,0.9771
NSC_285123,68,"C, H, N, S",0.0364,0.1547,0.0249,0.9884
NSC_11104,12,"C, H, N",0.0365,0.0799,0.0296,0.9911
NSC_103137,26,"C, H, N",0.0366,0.106,0.0272,0.9844
NSC_296863,19,"C, H, N, S",0.0369,0.0753,0.0297,0.9883
NSC_78409,18,"C, Cl, H, N, O, S",0.0369,0.1252,0.0224,0.9922
NSC_181935,25,"C, H, S",0.037,0.098,0.0264,0.9838
NSC_100753,26,"C, Cl, H, N",0.0372,0.0676,0.0325,0.9846
NSC_11370,31,"C, H, N, O, S",0.0372,0.0872,0.0279,0.9963
NSC_101,21,"C, H, N, O",0.0374,0.1413,0.0244,0.9902
NSC_525123,13,"C, Cl, H, N, O",0.0375,0.0808,0.0313,0.993
NSC_260864,62,"C, H, N, S",0.0376,0.154,0.0256,0.9874
NSC_137815,124,"C, H, O, S",0.0376,0.173,0.0245,0.9858
