name, num. of atoms, atomic types, rmsd, max. deviation, av. deviation, pearson**2
NSC_100948,36,"C~1, H~1, N~1",0.0187,0.0368,0.0162,0.9961
NSC_100302,42,"C~1, H~1, N~1",0.0237,0.071,0.0175,0.9917
NSC_100303,33,"C~1, H~1, N~1",0.0237,0.041,0.0201,0.9942
NSC_100316,32,"C~1, C~2, H~1, N~1",0.0242,0.0398,0.021,0.9904
NSC_10068,56,"C~1, C~2, H~1, N~1, O~1",0.0267,0.0683,0.022,0.989
NSC_10002,68,"C~1, H~1, N~1, O~1",0.0273,0.1194,0.0173,0.9885
NSC_101084,55,"C~1, C~2, H~1, O~2",0.0295,0.1696,0.0159,0.9868
NSC_100163,26,"C~1, H~1, N~1",0.0298,0.0635,0.0238,0.9889
NSC_100666,22,"C~1, C~2, H~1, N~1, N~2",0.031,0.0563,0.0261,0.9866
NSC_100229,37,"C~1, C~2, H~1, N~1",0.0313,0.0919,0.024,0.9874
NSC_100761,40,"C~1, H~1, O~1",0.0315,0.1476,0.0157,0.9852
NSC_101840,32,"C~1, H~1, N~1, S~1",0.0315,0.0888,0.0234,0.9849
NSC_101114,27,"C~1, C~2, H~1, O~1",0.0321,0.0867,0.0216,0.9869
NSC_100889,17,"C~1, C~2, H~1, N~1, O~2",0.0331,0.0658,0.0277,0.9936
NSC_101515,9,"C~2, H~1, N~1, N~2, S~1",0.0333,0.0818,0.0218,0.996
NSC_100882,27,"C~2, H~1, N~2, O~1",0.0336,0.0849,0.0251,0.9909
NSC_101143,49,"C~1, C~2, H~1, N~2, O~1",0.0344,0.1115,0.0241,0.9804
NSC_101078,55,"C~1, C~2, H~1, O~2",0.0346,0.2138,0.0181,0.9812
NSC_100710,53,"C~1, C~2, H~1, N~1, O~1",0.0349,0.1037,0.0276,0.9817
NSC_100243,37,"C~1, C~2, H~1",0.0352,0.1149,0.0294,0.9809
NSC_100212,34,"C~1, C~2, H~1, N~1, O~1",0.0354,0.1097,0.0241,0.9809
NSC_100881,29,"C~1, C~2, H~1, N~2, O~1",0.0368,0.0933,0.0294,0.9846
NSC_100926,27,"C~1, H~1, O~1",0.0376,0.0959,0.0291,0.9854
NSC_101175,20,"C~1, C~2, H~1, N~2",0.0381,0.0685,0.0337,0.9786
NSC_100166,26,"C~1, C~2, H~1, N~1, O~2",0.0383,0.0933,0.031,0.9882
NSC_101350,22,"C~1, H~1, N~1, O~1, S~1",0.0383,0.0854,0.0298,0.9813
NSC_100930,21,"C~1, C~2, H~1, N~2, S~1",0.0386,0.0791,0.0316,0.9827
NSC_101004,32,"C~1, C~2, H~1, O~1, S~2",0.0387,0.0991,0.0273,0.9814
NSC_100036,15,"C~1, H~1, O~1",0.039,0.0901,0.0299,0.9842
NSC_101082,30,"C~1, C~2, H~1, N~1, O~1",0.0392,0.0811,0.0312,0.9845
NSC_101547,29,"C~2, H~1, N~2",0.0392,0.0769,0.0338,0.978
NSC_100735,25,"C~1, H~1, O~1",0.0394,0.1128,0.0249,0.9822
NSC_10103,45,"C~1, C~2, H~1, N~1, O~1",0.0394,0.0945,0.032,0.9858
NSC_101290,21,"C~1, C~2, H~1, N~1",0.0394,0.0908,0.035,0.9768
NSC_101651,37,"C~1, C~2, H~1, N~1, N~2, O~1, O~2",0.0396,0.159,0.0288,0.9884
NSC_101568,30,"C~1, C~2, H~1, N~1, O~1, O~2",0.0401,0.1175,0.0287,0.9951
NSC_100617,34,"C~1, C~2, H~1, N~1, N~2, O~1",0.0402,0.1164,0.031,0.9838
NSC_10086,29,"C~1, C~2, H~1, N~1",0.0402,0.1018,0.031,0.9802
NSC_101,21,"C~1, C~2, H~1, N~1, O~2",0.0402,0.1236,0.0318,0.9872
NSC_100594,44,"C~1, C~2, H~1, N~1, O~1",0.0405,0.162,0.0277,0.9827
NSC_100152,19,"C~1, C~2, H~1, N~1, N~2",0.0409,0.0804,0.0358,0.989
NSC_101849,27,"C~1, C~2, H~1, O~1",0.041,0.088,0.0329,0.9851
NSC_101683,41,"C~1, C~2, H~1, N~1, N~2, O~1, O~2",0.0412,0.149,0.0322,0.9875
NSC_100902,22,"C~1, H~1, O~1",0.0414,0.1137,0.0281,0.9799
NSC_101191,25,"C~1, C~2, H~1, N~1, O~2",0.0414,0.1007,0.0306,0.9924
NSC_10127,25,"C~1, C~2, H~1, N~1, O~1, O~2",0.0415,0.0977,0.0321,0.9901
NSC_100883,30,"C~1, C~2, H~1, N~2, O~1",0.0416,0.1045,0.0315,0.984
NSC_101850,27,"C~1, C~2, H~1, O~1",0.0416,0.0977,0.0339,0.9842
NSC_1002,19,"C~1, C~2, H~1, N~1, O~2",0.0418,0.0967,0.0356,0.9929
NSC_100317,27,"C~1, C~2, H~1, O~1",0.0418,0.0733,0.0368,0.9658
NSC_100920,21,"C~1, C~2, H~1, O~1, O~2",0.0418,0.1096,0.0294,0.9836
NSC_101476,24,"C~1, C~2, H~1, N~1, O~1, O~2",0.0419,0.1248,0.0308,0.9892
NSC_101132,27,"C~1, C~2, H~1, N~1, O~1, O~2",0.042,0.1348,0.0302,0.9882
NSC_101684,31,"C~1, C~2, H~1, N~1, N~2, O~1, O~2",0.042,0.1443,0.0333,0.9889
NSC_101079,32,"C~2, H~1, N~1",0.0421,0.0818,0.0361,0.977
NSC_100870,32,"C~1, C~2, H~1, N~1, O~1, O~2",0.0424,0.1185,0.031,0.9917
NSC_100869,34,"C~1, C~2, H~1, N~1, N~2, O~1, O~2",0.0427,0.1553,0.0316,0.9867
NSC_10112,19,"C~1, C~2, H~1, O~1",0.0428,0.1125,0.0351,0.9816
