name, num. of atoms, atomic types, rmsd, max. deviation, av. deviation, pearson**2
NSC_100704,40,"C~1, C~2, H~1, O~1",0.0167,0.0565,0.0113,0.9949
NSC_10068,56,"C~1, C~2, H~1, N~1, O~1",0.0179,0.0441,0.013,0.9954
NSC_100243,37,"C~1, C~2, H~1",0.0242,0.1159,0.0142,0.9896
NSC_100201,32,"C~1, C~2, H~1, O~2",0.0243,0.0456,0.0182,0.9936
NSC_100735,25,"C~1, H~1, O~1",0.0251,0.0559,0.0207,0.9929
NSC_100761,40,"C~1, H~1, O~1",0.0256,0.0914,0.0208,0.9929
NSC_100163,26,"C~1, H~1, N~1",0.0257,0.0899,0.0169,0.9959
NSC_100690,32,"C~1, C~2, H~1, N~1, O~2",0.0269,0.0629,0.0194,0.9934
NSC_10002,68,"C~1, H~1, N~1, O~1",0.0274,0.08,0.0224,0.9937
NSC_100710,53,"C~1, C~2, H~1, N~1, O~1",0.0276,0.1116,0.0176,0.9878
NSC_100744,28,"C~1, H~1, O~1",0.0282,0.1058,0.0198,0.99
NSC_100302,42,"C~1, H~1, N~1",0.0283,0.093,0.0207,0.9942
NSC_100316,32,"C~1, C~2, H~1, N~1",0.0287,0.0943,0.0218,0.9962
NSC_10043,43,"C~1, C~2, H~1, O~1",0.0288,0.0838,0.0208,0.9903
NSC_100734,25,"C~1, C~2, H~1, O~2",0.0293,0.0569,0.0239,0.9912
NSC_100739,20,"C~1, C~2, H~1, N~1, O~1",0.0295,0.0705,0.0218,0.9951
NSC_10042,34,"C~1, C~2, H~1, N~1, O~2",0.0296,0.0625,0.023,0.9918
NSC_1005,41,"C~1, C~2, H~1, N~2",0.0298,0.0739,0.0192,0.9838
NSC_100705,43,"C~1, C~2, H~1, N~1, O~1, O~2",0.0299,0.1198,0.0189,0.9922
NSC_100714,53,"C~1, C~2, H~1, N~1, O~1",0.03,0.0788,0.0204,0.9849
NSC_100036,15,"C~1, H~1, O~1",0.0301,0.054,0.0243,0.9916
NSC_100317,27,"C~1, C~2, H~1, O~1",0.0305,0.0822,0.0185,0.9833
NSC_10019,45,"C~1, C~2, H~1, N~1, O~1, O~2",0.0306,0.0959,0.0227,0.9918
NSC_100709,50,"C~1, C~2, H~1, N~1, O~1",0.0307,0.0941,0.0208,0.9864
NSC_100219,35,"C~1, C~2, H~1, O~2",0.0316,0.1352,0.0204,0.9878
NSC_100712,51,"C~1, C~2, H~1, N~1, O~1",0.0316,0.104,0.0215,0.9899
NSC_10040,28,"C~1, C~2, H~1, N~1, O~2",0.0321,0.0622,0.0253,0.9915
